#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_dal_riata;Dal Riata;;;;;;;;;x
c_robogdia;Robogdia;;;;;;;;x


b_robogdia1;Robogdia;;;;;;;;x
b_robogdia2;Robogdia;;;;;;;;x
b_robogdia3;Robogdia;;;;;;;;x
b_robogdia4;Robogdia;;;;;;;;x
b_robogdia5;Robogdia;;;;;;;;x
b_robogdia6;Robogdia;;;;;;;;x
b_robogdia7;Robogdia;;;;;;;;x

c_darinia;Darina;;;;;;;;x


b_darinia1;Darina;;;;;;;;x
b_darinia2;Darina;;;;;;;;x
b_darinia3;Darina;;;;;;;;x
b_darinia4;Darina;;;;;;;;x
b_darinia5;Darina;;;;;;;;x
b_darinia6;Darina;;;;;;;;x
b_darinia7;Darina;;;;;;;;x

c_ouenniknonia;Ouenniknonia;;;;;;;;x

b_ouenniknonia1;Ouenniknonia;;;;;;;;x
b_ouenniknonia2;Ouenniknonia;;;;;;;;x
b_ouenniknonia3;Ouenniknonia;;;;;;;;x
b_ouenniknonia4;Ouenniknonia;;;;;;;;x
b_ouenniknonia5;Ouenniknonia;;;;;;;;x
b_ouenniknonia6;Ouenniknonia;;;;;;;;x
b_ouenniknonia7;Ouenniknonia;;;;;;;;x

c_ulutia;Ulutia;;;;;;;;x

b_ulutia1;Ulutia;;;;;;;;x
b_ulutia2;Ulutia;;;;;;;;x
b_ulutia3;Ulutia;;;;;;;;x
b_ulutia4;Ulutia;;;;;;;;x
b_ulutia5;Ulutia;;;;;;;;x
b_ulutia6;Ulutia;;;;;;;;x
b_ulutia7;Ulutia;;;;;;;;x


d_tara;Tara;;;;;;;;x

c_eblana;Eblana;;;;;;;;x

b_eblana1;Eblana;;;;;;;;x
b_eblana2;Eblana;;;;;;;;x
b_eblana3;Eblana;;;;;;;;x
b_eblana4;Eblana;;;;;;;;x
b_eblana5;Eblana;;;;;;;;x
b_eblana6;Eblana;;;;;;;;x
b_eblana7;Eblana;;;;;;;;x

c_kaukia;Kaukia;;;;;;;;x

b_kaukia1;Kaukia;;;;;;;;x
b_kaukia2;Kaukia;;;;;;;;x
b_kaukia3;Kaukia;;;;;;;;x
b_kaukia4;Kaukia;;;;;;;;x
b_kaukia5;Kaukia;;;;;;;;x
b_kaukia6;Kaukia;;;;;;;;x
b_kaukia7;Kaukia;;;;;;;;x

c_koriondia;Koriondia;;;;;;;;x

b_koriondia1;Koriondia;;;;;;;;x
b_koriondia2;Koriondia;;;;;;;;x
b_koriondia3;Koriondia;;;;;;;;x
b_koriondia4;Koriondia;;;;;;;;x
b_koriondia5;Koriondia;;;;;;;;x
b_koriondia6;Koriondia;;;;;;;;x
b_koriondia7;Koriondia;;;;;;;;x

c_manapia;Manapia;;;;;;;;x


b_manapia1;Manapia;;;;;;;;x
b_manapia2;Manapia;;;;;;;;x
b_manapia3;Manapia;;;;;;;;x
b_manapia4;Manapia;;;;;;;;x
b_manapia5;Manapia;;;;;;;;x
b_manapia6;Manapia;;;;;;;;x
b_manapia7;Manapia;;;;;;;;x

d_connachta;Connachta;;;;;;;;x

c_connachta;Connachta;;;;;;;;x

b_connachta1;Connachta;;;;;;;;x
b_connachta2;Connachta;;;;;;;;x
b_connachta3;Connachta;;;;;;;;x
b_connachta4;Connachta;;;;;;;;x
b_connachta5;Connachta;;;;;;;;x
b_connachta6;Connachta;;;;;;;;x
b_connachta7;Connachta;;;;;;;;x
		
c_erdinia;Erdinia;;;;;;;;x

b_erdinia1;Erdinia;;;;;;;;x
b_erdinia2;Erdinia;;;;;;;;x
b_erdinia3;Erdinia;;;;;;;;x
b_erdinia4;Erdinia;;;;;;;;x
b_erdinia5;Erdinia;;;;;;;;x
b_erdinia6;Erdinia;;;;;;;;x
b_erdinia7;Erdinia;;;;;;;;x
	
c_nagnatia;Nagnatia;;;;;;;;x

b_nagnatia1;Nagnatia;;;;;;;;x
b_nagnatia2;Nagnatia;;;;;;;;x
b_nagnatia3;Nagnatia;;;;;;;;x
b_nagnatia4;Nagnatia;;;;;;;;x
b_nagnatia5;Nagnatia;;;;;;;;x
b_nagnatia6;Nagnatia;;;;;;;;x
b_nagnatia7;Nagnatia;;;;;;;;x
			

d_erainn;Erainn;;;;;;;;x

c_auteinia;Auteinia;;;;;;;;x

b_auteinia1;Auteinia;;;;;;;;x
b_auteinia2;Auteinia;;;;;;;;x
b_auteinia3;Auteinia;;;;;;;;x
b_auteinia4;Auteinia;;;;;;;;x
b_auteinia5;Auteinia;;;;;;;;x
b_auteinia6;Auteinia;;;;;;;;x
b_auteinia7;Auteinia;;;;;;;;x
	
c_uairmumhain;Uairmumhain;;;;;;;;x

b_uairmumhain1;Uairmumhain;;;;;;;;x
b_uairmumhain2;Uairmumhain;;;;;;;;x
b_uairmumhain3;Uairmumhain;;;;;;;;x
b_uairmumhain4;Uairmumhain;;;;;;;;x
b_uairmumhain5;Uairmumhain;;;;;;;;x
b_uairmumhain6;Uairmumhain;;;;;;;;x
b_uairmumhain7;Uairmumhain;;;;;;;;x
	
c_deismumhain;Deismumhain;;;;;;;;x


b_deismumhain1;Deismumhain;;;;;;;;x
b_deismumhain2;Deismumhain;;;;;;;;x
b_deismumhain3;Deismumhain;;;;;;;;x
b_deismumhain4;Deismumhain;;;;;;;;x
b_deismumhain5;Deismumhain;;;;;;;;x
b_deismumhain6;Deismumhain;;;;;;;;x
b_deismumhain7;Deismumhain;;;;;;;;x
	
c_gangania;Gangania;;;;;;;;x

b_gangania1;Gangania;;;;;;;;x
b_gangania2;Gangania;;;;;;;;x
b_gangania3;Gangania;;;;;;;;x
b_gangania4;Gangania;;;;;;;;x
b_gangania5;Gangania;;;;;;;;x
b_gangania6;Gangania;;;;;;;;x
b_gangania7;Gangania;;;;;;;;x
	
